max_cc,moa,dam,loc,lcom,npm,CC,ce,noc,ca,rfc,bug
9.0,2.0,0.6,713.0,76.0,9.0,0.0750552,2.0,0.0,7.0,64.0,2.0
1.0,3.0,1.0,97.0,13.0,11.0,0.0,3.0,0.0,5.0,15.0,0.0
2.0,1.0,1.0,153.0,0.0,14.0,0.0,1.0,0.0,98.0,28.0,0.0
1.0,0.0,0.0,7.0,21.0,7.0,0.0,1.0,0.0,5.0,7.0,0.0
1.0,0.0,0.0,4.0,6.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,257.0,49.0,12.0,0.220238,4.0,1.0,4.0,32.0,2.0
8.0,0.0,0.0,45.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0
35.0,0.0,1.0,1407.0,181.0,14.0,0.58235,2.0,1.0,20.0,51.0,0.0
1.0,0.0,0.0,13.0,78.0,13.0,0.0,0.0,0.0,4.0,13.0,0.0
,,,,,,0.0,,,,,
24.0,0.0,0.4375,822.0,63.0,9.0,0.118207,20.0,0.0,20.0,63.0,2.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.567659,,,,,
3.0,1.0,0.75,69.0,8.0,3.0,0.0,0.0,0.0,51.0,10.0,0.0
4.0,0.0,0.846153846,1253.0,65.0,1.0,0.0150418,7.0,0.0,0.0,82.0,1.0
5.0,0.0,1.0,59.0,0.0,4.0,0.0,3.0,0.0,0.0,16.0,0.0
2.0,0.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,2.0,15.0,0.0
18.0,0.0,0.571428571,2193.0,2247.0,55.0,0.0639269,7.0,0.0,99.0,186.0,1.0
2.0,1.0,1.0,502.0,112.0,5.0,0.0382641,7.0,0.0,13.0,73.0,3.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.194313,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.20197,,,,,
,,,,,,0.0,,,,,
1.0,0.0,1.0,114.0,10.0,7.0,0.0,3.0,0.0,5.0,25.0,2.0
3.0,1.0,1.0,273.0,97.0,16.0,0.0,5.0,0.0,16.0,47.0,1.0
2.0,4.0,1.0,125.0,119.0,16.0,0.0,5.0,34.0,75.0,23.0,0.0
1.0,0.0,0.0,82.0,0.0,4.0,0.0,2.0,0.0,4.0,15.0,0.0
2.0,1.0,1.0,198.0,0.0,5.0,0.0,8.0,0.0,3.0,33.0,3.0
4.0,0.0,1.0,382.0,1.0,8.0,0.0,9.0,0.0,0.0,49.0,0.0
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.455696,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.346154,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.519231,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.519231,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.424242,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
,,,,,,0.0,,,,,
